2026/09/18 19:29:48.925, 225, 11720, 1, 0, 1552, 14001, 59, 22.00
2026/09/18 19:29:49.128, 8478, 3467, 1, 0, 1590, 14001, 59, 22.51
2026/09/18 19:29:49.340, 11430, 515, 1, 0, 1590, 14001, 59, 22.51
2026/09/18 19:29:49.543, 11430, 515, 100, 56, 1957, 14001, 71, 169.81
2026/09/18 19:29:49.758, 11430, 515, 100, 56, 1957, 14001, 71, 169.81
2026/09/18 19:29:49.959, 11430, 515, 100, 57, 2452, 14001, 75, 165.43
2026/09/18 19:29:50.161, 11430, 515, 100, 57, 2452, 14001, 75, 165.43
2026/09/18 19:29:50.373, 11430, 515, 100, 57, 2452, 14001, 75, 165.43
2026/09/18 19:29:50.587, 11430, 515, 100, 49, 1965, 14001, 71, 133.72
2026/09/18 19:29:50.895, 11430, 515, 100, 49, 1965, 14001, 71, 133.72
2026/09/18 19:29:51.097, 11430, 515, 100, 57, 2422, 14001, 76, 141.82
2026/09/18 19:29:51.299, 11430, 515, 100, 57, 2422, 14001, 76, 141.82
2026/09/18 19:29:51.502, 11430, 515, 100, 51, 2025, 14001, 72, 138.45
2026/09/18 19:29:51.717, 11430, 515, 100, 51, 2025, 14001, 72, 138.45
2026/09/18 19:29:51.932, 11430, 515, 100, 51, 2025, 14001, 72, 138.45
2026/09/18 19:29:52.149, 11430, 515, 54, 30, 2400, 14001, 68, 133.20
2026/09/18 19:29:52.363, 11430, 515, 54, 30, 2400, 14001, 68, 133.20
2026/09/18 19:29:52.577, 11430, 515, 1, 0, 1552, 14001, 62, 82.90
2026/09/18 19:29:52.792, 11430, 515, 1, 0, 1552, 14001, 62, 82.90
2026/09/18 19:29:53.004, 11430, 515, 1, 0, 1552, 14001, 61, 29.44
2026/09/18 19:29:53.218, 11430, 515, 1, 0, 1552, 14001, 61, 29.44
2026/09/18 19:29:53.433, 11430, 515, 1, 0, 1552, 14001, 61, 29.44
2026/09/18 19:29:53.646, 11430, 515, 1, 0, 1560, 14001, 60, 22.10
2026/09/18 19:29:53.849, 11430, 515, 1, 0, 1560, 14001, 60, 22.10
2026/09/18 19:29:54.050, 11430, 515, 1, 0, 1552, 14001, 60, 22.03
2026/09/18 19:29:54.251, 8774, 3171, 1, 0, 1552, 14001, 60, 22.03
