2026/09/18 20:16:08.523, 13, 11932, 100, 47, 69, 139.43
2026/09/18 20:16:08.738, 10068, 1877, 0, 0, 62, 110.73
2026/09/18 20:16:08.943, 11194, 751, 0, 0, 62, 110.73
2026/09/18 20:16:09.145, 11194, 751, 100, 48, 69, 95.68
2026/09/18 20:16:09.346, 11194, 751, 100, 48, 69, 95.68
2026/09/18 20:16:09.550, 11194, 751, 100, 48, 69, 95.68
2026/09/18 20:16:09.751, 11194, 751, 100, 48, 70, 116.60
2026/09/18 20:16:09.954, 11194, 751, 100, 48, 70, 116.60
2026/09/18 20:16:10.160, 11194, 751, 100, 48, 70, 140.26
2026/09/18 20:16:10.362, 11194, 751, 100, 48, 70, 140.26
2026/09/18 20:16:10.564, 11194, 751, 100, 48, 70, 140.26
2026/09/18 20:16:10.768, 11194, 751, 100, 48, 70, 139.30
2026/09/18 20:16:10.969, 11194, 751, 100, 48, 70, 139.30
2026/09/18 20:16:11.172, 168, 11777, 100, 49, 71, 139.76
