2026/09/18 21:28:09.489, 13, 11932, 100, 50, 68, 139.23
2026/09/18 21:28:09.692, 8400, 3545, 100, 50, 68, 139.23
2026/09/18 21:28:09.894, 11242, 703, 74, 39, 62, 102.56
2026/09/18 21:28:10.096, 11242, 703, 74, 39, 62, 102.56
2026/09/18 21:28:10.299, 11242, 703, 100, 50, 68, 100.06
2026/09/18 21:28:10.501, 11242, 703, 100, 50, 68, 100.06
2026/09/18 21:28:10.708, 11242, 703, 100, 50, 68, 100.06
2026/09/18 21:28:10.912, 11242, 703, 100, 50, 68, 136.62
2026/09/18 21:28:11.114, 11242, 703, 100, 50, 68, 136.62
2026/09/18 21:28:11.317, 11242, 703, 100, 50, 69, 139.56
2026/09/18 21:28:11.520, 11242, 703, 100, 50, 69, 139.56
2026/09/18 21:28:11.723, 11242, 703, 100, 50, 69, 139.69
2026/09/18 21:28:11.924, 11242, 703, 100, 50, 69, 139.69
2026/09/18 21:28:12.127, 9094, 2851, 100, 50, 69, 139.69
