2026/09/18 21:28:18.408, 13, 11932, 74, 42, 68, 136.69
2026/09/18 21:28:18.619, 10150, 1795, 74, 42, 68, 136.69
2026/09/18 21:28:18.823, 11194, 751, 93, 46, 69, 93.57
2026/09/18 21:28:19.024, 11194, 751, 93, 46, 69, 93.57
2026/09/18 21:28:19.229, 11194, 751, 100, 49, 72, 101.62
2026/09/18 21:28:19.432, 11194, 751, 100, 49, 72, 101.62
2026/09/18 21:28:19.633, 11194, 751, 100, 49, 72, 101.62
2026/09/18 21:28:19.836, 11194, 751, 100, 48, 71, 139.03
2026/09/18 21:28:20.038, 11194, 751, 100, 48, 71, 139.03
2026/09/18 21:28:20.243, 11194, 751, 100, 49, 72, 139.79
2026/09/18 21:28:20.445, 11194, 751, 100, 49, 72, 139.79
2026/09/18 21:28:20.647, 11194, 751, 100, 49, 72, 139.79
2026/09/18 21:28:20.848, 11194, 751, 100, 49, 72, 139.61
2026/09/18 21:28:21.053, 8566, 3379, 100, 49, 72, 139.61
