2026/09/18 21:17:14.443, 13, 11932, 0, 0, 59, 115.06
2026/09/18 21:17:14.645, 8398, 3547, 9, 3, 57, 56.16
2026/09/18 21:17:14.859, 11194, 751, 9, 3, 57, 56.16
2026/09/18 21:17:15.060, 11194, 751, 100, 50, 66, 142.24
2026/09/18 21:17:15.275, 11194, 751, 100, 50, 66, 142.24
2026/09/18 21:17:15.477, 11194, 751, 100, 50, 66, 142.24
2026/09/18 21:17:15.680, 11194, 751, 100, 50, 67, 142.74
2026/09/18 21:17:15.883, 11194, 751, 100, 50, 67, 142.74
2026/09/18 21:17:16.085, 11194, 751, 100, 50, 68, 139.82
2026/09/18 21:17:16.287, 11194, 751, 100, 50, 68, 139.82
2026/09/18 21:17:16.488, 11194, 751, 100, 50, 68, 139.82
2026/09/18 21:17:16.691, 11194, 751, 100, 50, 68, 139.35
2026/09/18 21:17:16.893, 11194, 751, 100, 50, 68, 139.35
2026/09/18 21:17:17.097, 2196, 9749, 53, 31, 64, 134.18
