2026/09/18 20:14:01.516, 13, 11932, 0, 0, 54, 6.48
2026/09/18 20:14:01.718, 34, 11911, 0, 0, 54, 6.48
2026/09/18 20:14:01.919, 7322, 4623, 0, 0, 54, 6.48
2026/09/18 20:14:02.124, 11084, 861, 33, 16, 56, 15.56
2026/09/18 20:14:02.328, 11084, 861, 33, 16, 56, 15.56
2026/09/18 20:14:02.532, 11084, 861, 33, 16, 56, 15.56
2026/09/18 20:14:02.734, 11084, 861, 100, 48, 65, 47.75
2026/09/18 20:14:02.935, 11084, 861, 100, 48, 65, 47.75
2026/09/18 20:14:03.137, 11084, 861, 100, 47, 66, 138.74
2026/09/18 20:14:03.339, 11084, 861, 100, 47, 66, 138.74
2026/09/18 20:14:03.542, 11084, 861, 100, 47, 66, 138.74
2026/09/18 20:14:03.747, 11084, 861, 100, 48, 67, 140.06
2026/09/18 20:14:03.949, 11084, 861, 100, 48, 67, 140.06
2026/09/18 20:14:04.151, 11084, 861, 100, 48, 67, 139.12
2026/09/18 20:14:04.353, 11084, 861, 100, 48, 67, 139.12
